#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 15:58:25
# Real time (s): 907.040
# Live time (s): 900.000
#
# Total counts:  84553
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       2529
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	8.853	0	0
2	9.224	0	0
3	9.595	0	0
4	9.967	0	0
5	10.338	0	0
6	10.709	0	0
7	11.081	0	0
8	11.452	0	0
9	11.823	0	0
10	12.195	0	0
11	12.566	0	0
12	12.937	0	0
13	13.309	0	0
14	13.680	0	0
15	14.051	0	0
16	14.422	0	0
17	14.794	0	0
18	15.165	0	0
19	15.536	0	0
20	15.908	0	0
21	16.279	0	0
22	16.650	0	0
23	17.022	0	0
24	17.393	0	0
25	17.764	0	0
26	18.136	0	0
27	18.507	0	0
28	18.878	0	0
29	19.250	0	0
30	19.621	0	0
31	19.992	0	0
32	20.364	0	0
33	20.735	0	0
34	21.106	0	0
35	21.477	0	0
36	21.849	0	0
37	22.220	0	0
38	22.591	0	0
39	22.963	0	0
40	23.334	0	0
41	23.705	0	0
42	24.077	0	0
43	24.448	0	0
44	24.819	0	0
45	25.191	0	0
46	25.562	0	0
47	25.933	0	0
48	26.305	0	0
49	26.676	0	0
50	27.047	0	0
51	27.419	0	0
52	27.790	0	0
53	28.161	0	0
54	28.533	0	0
55	28.904	0	0
56	29.275	0	0
57	29.646	0	0
58	30.018	0	0
59	30.389	0	0
60	30.760	0	0
61	31.132	0	0
62	31.503	0	0
63	31.874	0	0
64	32.246	0	0
65	32.617	0	0
66	32.988	0	0
67	33.360	0	0
68	33.731	0	0
69	34.102	0	0
70	34.474	0	0
71	34.845	0	0
72	35.216	0	0
73	35.588	0	0
74	35.959	0	0
75	36.330	0	0
76	36.701	0	0
77	37.073	0	0
78	37.444	0	0
79	37.815	0	0
80	38.187	0	0
81	38.558	0	0
82	38.929	0	0
83	39.301	0	0
84	39.672	0	0
85	40.043	0	0
86	40.415	0	0
87	40.786	0	0
88	41.157	0	0
89	41.529	0	0
90	41.900	0	0
91	42.271	0	0
92	42.643	0	0
93	43.014	0	0
94	43.385	0	0
95	43.757	0	0
96	44.128	0	0
97	44.499	0	0
98	44.870	0	0
99	45.242	0	0
100	45.613	0	0
101	45.984	0	0
102	46.356	0	0
103	46.727	0	0
104	47.098	0	0
105	47.470	0	0
106	47.841	0	0
107	48.212	0	0
108	48.584	0	0
109	48.955	0	0
110	49.326	0	0
111	49.698	0	0
112	50.069	0	0
113	50.440	0	0
114	50.812	0	0
115	51.183	0	0
116	51.554	0	0
117	51.926	0	0
118	52.297	0	0
119	52.668	0	0
120	53.039	0	0
121	53.411	0	0
122	53.782	0	0
123	54.153	0	0
124	54.525	0	0
125	54.896	0	0
126	55.267	0	0
127	55.639	0	0
128	56.010	5	0.00555556
129	56.381	12	0.0133333
130	56.753	24	0.0266667
131	57.124	55	0.0611111
132	57.495	80	0.0888889
133	57.867	73	0.0811111
134	58.238	75	0.0833333
135	58.609	82	0.0911111
136	58.981	87	0.0966667
137	59.352	68	0.0755556
138	59.723	76	0.0844444
139	60.094	62	0.0688889
140	60.466	78	0.0866667
141	60.837	59	0.0655556
142	61.208	59	0.0655556
143	61.580	55	0.0611111
144	61.951	66	0.0733333
145	62.322	68	0.0755556
146	62.694	66	0.0733333
147	63.065	43	0.0477778
148	63.436	46	0.0511111
149	63.808	52	0.0577778
150	64.179	60	0.0666667
151	64.550	62	0.0688889
152	64.922	82	0.0911111
153	65.293	59	0.0655556
154	65.664	59	0.0655556
155	66.036	60	0.0666667
156	66.407	52	0.0577778
157	66.778	56	0.0622222
158	67.150	64	0.0711111
159	67.521	53	0.0588889
160	67.892	60	0.0666667
161	68.263	57	0.0633333
162	68.635	52	0.0577778
163	69.006	52	0.0577778
164	69.377	44	0.0488889
165	69.749	46	0.0511111
166	70.120	58	0.0644444
167	70.491	49	0.0544444
168	70.863	57	0.0633333
169	71.234	64	0.0711111
170	71.605	46	0.0511111
171	71.977	69	0.0766667
172	72.348	64	0.0711111
173	72.719	73	0.0811111
174	73.091	49	0.0544444
175	73.462	51	0.0566667
176	73.833	59	0.0655556
177	74.205	62	0.0688889
178	74.576	53	0.0588889
179	74.947	57	0.0633333
180	75.319	66	0.0733333
181	75.690	58	0.0644444
182	76.061	63	0.07
183	76.432	72	0.08
184	76.804	59	0.0655556
185	77.175	79	0.0877778
186	77.546	68	0.0755556
187	77.918	58	0.0644444
188	78.289	85	0.0944444
189	78.660	72	0.08
190	79.032	76	0.0844444
191	79.403	78	0.0866667
192	79.774	79	0.0877778
193	80.146	71	0.0788889
194	80.517	88	0.0977778
195	80.888	93	0.103333
196	81.260	92	0.102222
197	81.631	89	0.0988889
198	82.002	89	0.0988889
199	82.374	76	0.0844444
200	82.745	75	0.0833333
201	83.116	79	0.0877778
202	83.487	72	0.08
203	83.859	66	0.0733333
204	84.230	71	0.0788889
205	84.601	63	0.07
206	84.973	73	0.0811111
207	85.344	65	0.0722222
208	85.715	59	0.0655556
209	86.087	64	0.0711111
210	86.458	65	0.0722222
211	86.829	47	0.0522222
212	87.201	65	0.0722222
213	87.572	58	0.0644444
214	87.943	63	0.07
215	88.315	54	0.06
216	88.686	58	0.0644444
217	89.057	58	0.0644444
218	89.429	79	0.0877778
219	89.800	62	0.0688889
220	90.171	56	0.0622222
221	90.543	66	0.0733333
222	90.914	47	0.0522222
223	91.285	60	0.0666667
224	91.656	76	0.0844444
225	92.028	61	0.0677778
226	92.399	74	0.0822222
227	92.770	65	0.0722222
228	93.142	67	0.0744444
