#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 10:31:16
# Real time (s): 6165.170
# Live time (s): 6000.000
#
# Total counts:  578519
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       3052
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	8.853	0	0
2	9.224	0	0
3	9.595	0	0
4	9.967	0	0
5	10.338	0	0
6	10.709	0	0
7	11.081	0	0
8	11.452	0	0
9	11.823	0	0
10	12.195	0	0
11	12.566	0	0
12	12.937	0	0
13	13.309	0	0
14	13.680	0	0
15	14.051	0	0
16	14.422	0	0
17	14.794	0	0
18	15.165	0	0
19	15.536	0	0
20	15.908	0	0
21	16.279	0	0
22	16.650	0	0
23	17.022	0	0
24	17.393	0	0
25	17.764	0	0
26	18.136	0	0
27	18.507	0	0
28	18.878	0	0
29	19.250	0	0
30	19.621	0	0
31	19.992	0	0
32	20.364	0	0
33	20.735	0	0
34	21.106	0	0
35	21.477	0	0
36	21.849	0	0
37	22.220	0	0
38	22.591	0	0
39	22.963	0	0
40	23.334	0	0
41	23.705	0	0
42	24.077	0	0
43	24.448	0	0
44	24.819	0	0
45	25.191	0	0
46	25.562	0	0
47	25.933	0	0
48	26.305	0	0
49	26.676	0	0
50	27.047	0	0
51	27.419	0	0
52	27.790	0	0
53	28.161	0	0
54	28.533	0	0
55	28.904	0	0
56	29.275	0	0
57	29.646	0	0
58	30.018	0	0
59	30.389	0	0
60	30.760	0	0
61	31.132	0	0
62	31.503	0	0
63	31.874	0	0
64	32.246	0	0
65	32.617	0	0
66	32.988	0	0
67	33.360	0	0
68	33.731	0	0
69	34.102	0	0
70	34.474	0	0
71	34.845	0	0
72	35.216	0	0
73	35.588	0	0
74	35.959	0	0
75	36.330	0	0
76	36.701	0	0
77	37.073	0	0
78	37.444	0	0
79	37.815	0	0
80	38.187	0	0
81	38.558	0	0
82	38.929	0	0
83	39.301	0	0
84	39.672	0	0
85	40.043	0	0
86	40.415	0	0
87	40.786	0	0
88	41.157	0	0
89	41.529	0	0
90	41.900	0	0
91	42.271	0	0
92	42.643	0	0
93	43.014	0	0
94	43.385	0	0
95	43.757	0	0
96	44.128	0	0
97	44.499	0	0
98	44.870	0	0
99	45.242	0	0
100	45.613	0	0
101	45.984	0	0
102	46.356	0	0
103	46.727	0	0
104	47.098	0	0
105	47.470	0	0
106	47.841	0	0
107	48.212	0	0
108	48.584	0	0
109	48.955	0	0
110	49.326	0	0
111	49.698	0	0
112	50.069	0	0
113	50.440	0	0
114	50.812	0	0
115	51.183	0	0
116	51.554	0	0
117	51.926	0	0
118	52.297	0	0
119	52.668	0	0
120	53.039	0	0
121	53.411	0	0
122	53.782	0	0
123	54.153	0	0
124	54.525	0	0
125	54.896	14	0.00233333
126	55.267	13	0.00216667
127	55.639	18	0.003
128	56.010	27	0.0045
129	56.381	46	0.00766667
130	56.753	40	0.00666667
131	57.124	42	0.007
132	57.495	68	0.0113333
133	57.867	137	0.0228333
134	58.238	189	0.0315
135	58.609	276	0.046
136	58.981	361	0.0601667
137	59.352	447	0.0745
138	59.723	476	0.0793333
139	60.094	508	0.0846667
140	60.466	494	0.0823333
141	60.837	484	0.0806667
142	61.208	504	0.084
143	61.580	435	0.0725
144	61.951	456	0.076
145	62.322	475	0.0791667
146	62.694	472	0.0786667
147	63.065	423	0.0705
148	63.436	442	0.0736667
149	63.808	494	0.0823333
150	64.179	449	0.0748333
151	64.550	419	0.0698333
152	64.922	430	0.0716667
153	65.293	439	0.0731667
154	65.664	414	0.069
155	66.036	444	0.074
156	66.407	405	0.0675
157	66.778	447	0.0745
158	67.150	412	0.0686667
159	67.521	412	0.0686667
160	67.892	406	0.0676667
161	68.263	402	0.067
162	68.635	400	0.0666667
163	69.006	403	0.0671667
164	69.377	379	0.0631667
165	69.749	435	0.0725
166	70.120	404	0.0673333
167	70.491	379	0.0631667
168	70.863	399	0.0665
169	71.234	390	0.065
170	71.605	396	0.066
171	71.977	363	0.0605
172	72.348	402	0.067
173	72.719	354	0.059
174	73.091	395	0.0658333
175	73.462	400	0.0666667
176	73.833	439	0.0731667
177	74.205	395	0.0658333
178	74.576	408	0.068
179	74.947	399	0.0665
180	75.319	382	0.0636667
181	75.690	326	0.0543333
182	76.061	350	0.0583333
183	76.432	391	0.0651667
184	76.804	386	0.0643333
185	77.175	375	0.0625
186	77.546	351	0.0585
187	77.918	381	0.0635
188	78.289	398	0.0663333
189	78.660	369	0.0615
190	79.032	406	0.0676667
191	79.403	349	0.0581667
192	79.774	412	0.0686667
193	80.146	402	0.067
194	80.517	424	0.0706667
195	80.888	430	0.0716667
196	81.260	418	0.0696667
197	81.631	456	0.076
198	82.002	430	0.0716667
199	82.374	451	0.0751667
200	82.745	508	0.0846667
201	83.116	451	0.0751667
202	83.487	469	0.0781667
203	83.859	472	0.0786667
204	84.230	474	0.079
205	84.601	483	0.0805
206	84.973	523	0.0871667
207	85.344	506	0.0843333
208	85.715	518	0.0863333
209	86.087	529	0.0881667
210	86.458	513	0.0855
211	86.829	513	0.0855
212	87.201	492	0.082
213	87.572	490	0.0816667
214	87.943	470	0.0783333
215	88.315	442	0.0736667
216	88.686	492	0.082
217	89.057	433	0.0721667
218	89.429	462	0.077
219	89.800	387	0.0645
220	90.171	442	0.0736667
221	90.543	415	0.0691667
222	90.914	383	0.0638333
223	91.285	389	0.0648333
224	91.656	420	0.07
225	92.028	381	0.0635
226	92.399	411	0.0685
227	92.770	387	0.0645
228	93.142	402	0.067
229	93.513	374	0.0623333
230	93.884	426	0.071
